Bài 5
いきます (行きます)	đi
わかりました	Tôi hiểu rồi./ Vâng ạ.
なんですか	Có gì đấy ạ?/ Cái gì vậy?/ Vâng có tôi. (câu trả lời khi ai đó gọi tên mình)
じゃ、またあした	Hẹn gặp lại [ngày mai].
///////////////////////////////////////////////////////// het bai 6
Bài 7
きります 切ります	cắt
おくります（送ります）	gửi
あげます （上げます）	cho, tặng
もらいます	Nhận, nhận được
かします（貸します）	cho mượn, cho vay
かります 借ります	mượn, vay
おしえます 教えます	Dạy, giảng dạy
ならいます（習います）	học tập
でんわをかけます	gọi điện thoại
て	手 tay
はし	đũa
スプーン	thìa
ナイフ	con dao
フォーク	dĩa
はさみ	kéo
ファクス	máy fax
ワープロ	máy đánh chữ
パソコン	Máy tính cá nhân
パンチ	cái đục lỗ
ホッチキス	cái dập ghim
セロテープ	băng dính
けしゴム	cái tẩy
かみ	Giấy 紙
はな	hoa
シャツ	áo sơ mi
プレゼント	quà tặng
にもつ (荷物)	đồ đạc, hành lý
おかね (お金)	tiền
きっぷ (切符)	Vé, tấm vé
クリスマス	Giáng sinh
ちち (父)	bố (dùng khi nói về bố mình)
はは (母)	mẹ (dùng khi nói về mẹ mình)
おとうさん (お父さん)	Bố (của người khác)
おかあさん (お母さん)	Mẹ (của người khác)
もう	đã, rồi
まだ	vẫn chưa
これから	これから - Từ bây giờ
すてきですね	[~] hay nhỉ./ đẹp nhỉ.
ごめんください	xin lỗi có ai ở nhà không
いらっしゃい	Rất hoan nghênh anh/chị đã đến chơi./ Chào mừng anh/chị đã đến chơi.
どうぞおあがりください	Mời anh/chị vào.
しつれいします	Xin phép tôi vào./ Xin phép ~. (dùng khi bước vào nhà của người khác)
いかがですか	Anh/chị dùng「～は」, có được không? (dùng khi mời ai đó cái gì)
いただきます	Mời anh/chị dùng ~. (cách nói dùng trước khi ăn hoặc uống)
りょこう	du lịch, chuyến du lịch (～をします: đi du lịch)
おみやげ (お土産)	quà (mua khi đi xa về hoặc mang đi khi thăm nhà người nào đó)
ヨーロッパ	Châu Âu
スペイン	Tây Ban Nha
//////////////////////////////////////////////////////////het bai 7
Bài 8
ハンサム （な）	ĐẸP TRAI
きれい （な）	ĐẸP, SẠCH
しずか （な）	YÊN TĨNH
にぎやか （な）	NÁO NHIỆT
ゆうめい （な）	NỔI TIẾNG
しんせつ （な）	TỐT BỤNG, THÂN THIỆN
げんき （な）	KHỎE
ひま （な）	RẢNH RỖI
べんり （な）	TIỆN LỢI
すてき （な）	ĐẸP, HAY
おおきい	LỚN, TO
ちいさい	NHỎ
あたらしい	MỚI
ふるい	CŨ
いい （よい）	TỐT
わるい	XẤU
あつい	NÓNG
さむい	LẠNH, RÉT (THỜI TIẾT)
つめたい	LẠNH, BUỐT (CẢM GIÁC)
むずかしい	KHÓ
やさしい	DỄ
たかい	ĐẮT, CAO
やすい	RẺ
ひくい	THẤP
おもしろい	THÚ VỊ
おいしい	NGON
いそがしい	BẬN RỘN
たのしい	VUI VẺ
しろい	TRẮNG
くろい	ĐEN
あかい	ĐỎ
あおい	XANH DA TRỜI
さくら	HOA ANH ĐÀO
やま	NÚI
まち	THỊ TRẤN, THÀNH PHỐ
たべもの	ĐỒ ĂN
くるま	XE Ô TÔ
ところ	NƠI, CHỖ
りょう	KÍ TÚC XÁ
べんきょう	VIỆC HỌC TẬP
せいかつ	CUỘC SỐNG, SINH HOẠT
（お）しごと	CÔNG VIỆC
とても	RẤT
あまり	KHÔNG...LẮM
きんかくじ	CHÙA VÀNG
///////////////////////////////////////////het bai 8
Bài 9
わかります	hiểu, nắm được, biết
あります	có
すき （な）	thích
きらい （な）	ghét
じょうず （な）	giỏi
へた （な）	kém
りょうり	món ăn, việc nấu ăn
のみもの	đồ uống
スポーツ	thể thao
やきゅう	bóng chày
ダンス	nhảy, khiêu vũ
おんがく	âm nhạc
うた	bài hát
クラシック	nhạc cổ điển
ジャズ	nhạc jazz
コンサート	buổi hòa nhạc
カラオケ	karaoke
かぶき	kịch Kabuki
え	tranh, hội họa
こまかい おかね	tiền lẻ
チケット	vé
じかん	thời gian
ようじ	việc bận, công chuyện
やくそく	cuộc hẹn, lời hứa
こども	con cái
ごしゅじん	chồng (người khác)
おっと ･しゅじん	chồng mình
おくさん	vợ (người khác)
つま ・かない	vợ mình
よく	tốt, rõ
だいたい	đại khái, đại thể
たくさん	nhiều
すこし	ít, một ít
はやく	nhanh, sớm
/////////////////////////////////////////////het bai 9
Bài 10
いろいろ （な）	色々 (sắc)
NHIỀU, ĐA DẠNG
います	CÓ, Ở (dùng để chỉ sự tồn tại của người và động vật)
あります	CÓ, Ở (dùng để chỉ sự tồn tại của đồ vật)
おとこのひと	男の人 (NAM-NHÂN)
NGƯỜI ĐÀN ÔNG
おんなのひと	女の人 (NỮ-NHÂN)
NGƯỜI PHỤ NỮ
おとこのこ	男の子 (NAM -TỬ)
CẬU BÉ
おんなのこ	女の子 (NỮ-TỬ)
CÔ BÉ
いぬ	犬 (KHUYỂN)
CON CHÓ
ねこ	猫 (MIÊU)
CON MÈO
き	木 (MỘC)
バスてい	バス停 (ĐÌNH)
🚏ĐIỂM DỪNG XE BUÝT
もの	物 (VẬT)
ĐỒ VẬT
フィルム	PHIM
でんち	電池 (ĐIỆN-TRÌ)
PIN
はこ	箱 (TƯƠNG)
CÁI HỘP
スイッチ	CÔNG TẮC
れいぞうこ	冷蔵庫 (LÃNH-TÀNG-KHỐ)
TỦ LẠNH
テーブル	BÀN
ベッド	GIƯỜNG
たな	棚 (BẰNG)
GIÁ
ほんだな	本棚 (BẢN-BẰNG)
GIÁ SÁCH
ドア	CỬA
まど	窓 (SONG)
CỬA SỔ
ポスト	HÒM THƯ
ビル	TÒA NHÀ
こうえん	公園 (CÔNG-VIÊN)
CÔNG VIÊN
のりば	乗り場 (THỪA-TRÀNG)
BẾN XE, ĐIỂM LÊN XUỐNG XE
けん	県 (HUYỆN)
TỈNH
よこ	横 (HOÀNH)
BỀ NGANG
まんなか	真中 (CHÂN-TRUNG)
CHÍNH GIỮA
うえ	上 (THƯỢNG)
bên trên
した	下 (HẠ)
bên dưới
まえ	前 (TIỀN)
trước
うしろ	後ろ (HẬU)
sau
みぎ	右 (HỮU)
phải
ひだり	左 (TẢ)
trái
なか	中 (TRUNG)
trong, giữa
そと	外 (NGOẠI)
bên ngoài
となり	隣 (LÂN)
bên cạnh
ちかく	近く(CẬN)
GẦN
あいだ	間 (GIAN)
Ở GIỮA
～や～や～など。	liệt kê danh từ
~ và ~ và~ chằng hạn.
いちばん～	一番 (-NHẤT_PHIÊN)

~ nhất (cao nhất, trên cùng, thấp nhất....)
～だんめ	～段目 (ĐOẠN_MỤC)
tầng thứ ~ (dùng cho giá sách)
どうも すみません！	rất cảm ơn
チリソース	tương ớt
ソース	nước sốt
おく	奥 (áo)
phía trong cùng, phía sâu bên trong
スパイス コーナー	góc để gia vị
///////////////////////////////////////////////het bai 10
Bài 11
かかります	mất, tốn (thời gian, tiền bạc)
休みます	やすみます
nghỉ (làm việc) (HƯU)
１つ	ひとつ
1 cái (để đếm đồ vật)
２つ	ふたつ
2 cái
３つ	みっつ
3 cái
４つ	よっつ
4 cái
５つ	いつつ
5 cái
６つ	むっつ
6 cái
７つ	ななつ
7 cái
８つ	やっつ
8 cái
９つ	ここのつ
9 cái
１０つ	とう
10 cái
いくつ	mấy cái, bao nhiêu cái
１人	ひとり
1 người
２人	ふたり
2 người
～人	〜にん
người (NHÂN)
～台	〜だい
cái (để đếm máy móc, xe cộ) (ĐÀI)
～枚	〜まい
tờ, tấm (để đếm vật mỏng như giấy, tem, ...) (MAI)
～回	〜かい
lần (HỒI)
りんご	trái táo
みかん	trái quýt
サンドイッチ	bánh sanwitch
カレーライス	món cơm cà ri
アイスクリーム	kem, ice-cream
切手	きって
con tem (THIẾT THỦ)
はがき	bưu thiếp
封筒	ふうとうphong bì (PHONG ĐỒNG)
速達	そくたつ
(bưu phẩm) gởi nhanh (TỐC ĐẠT)
書留	かきとめ
(bưu phẩm) gởi đảm bảo (THƯ LƯU)
エアメール
航空便	こうくうびん (HÀNG KHÔNG TIỆN)
gởi bằng đường hàng không
船便	ふなびん
gởi bằng đường biển (THUYỀN TIỆN)
両親	りょうしん
bố mẹ (LƯỠNG THÂN)
兄弟	きょうだい
anh chị em (HUYNH ĐỆ)
兄	あに
anh trai (HUYNH)
兄さん	あにさん
anh trai (dùng cho người khác) (HUYNH)
姉	あね
chị gái (TỈ)
姉さん	あねさん
chị gái (dùng cho người khác) (TỈ)
弟	おとうと
em trai (ĐỆ)
弟さん	おとうとさん
em trai (dùng cho người khác) (ĐỆ)
妹	いもうと
em gái (MUỘI)
妹さん	いもうとさん
em gái (dùng cho người khác) (MUỘI)
外国	がいこく
nước ngoài (NGOẠI QUỐC)
～時間	〜じかん
...tiếng (THỜI GIAN)
～週間	〜しゅうかん
...tuần (CHU GIAN)
～か月	〜かげつ
...tháng (NGUYỆT)
～年	〜ねん
...năm (NIÊN)
～ぐらい	khoảng
どのくらい	khoảng bao lâu
全部で	ぜんぶで
tổng cộng (TOÀN BỘ)
みんな	tất cả
～だけ	chỉ...
いらっしゃいませ。	xin mời vào, xin chào quý khách (lời chào của người bán hàng đối với khách hàng)
いい天気ですね。	いいてんきですね
trời đẹp nhỉ (THIÊN KHÍ)
お出かけですか。	おでかけですか
anh/chị đi ra ngoài đấy à (XUẤT)
ちょっと～まで	tôi đi ... một chút
行ってらっしゃい	いってらっしゃい
anh/chị đi nhé (nguyên nghĩa: anh/chị đi rồi lại về nhé) (HÀNH)
行ってまいります	いってまいります
tôi đi đây (nguyên nghĩa: tôi đi rồi sẽ về) (HÀNH)
それから	sau đó, tiếp nữa
オーストラリア	Úc
います	Có (sở hữu người, động vật)
Ở ( địa điểm tồn tại người, động vật)
すし	Món ăn sushi
おにぎり	🍙 cơm nắm
うどん	Mì làm từ bột lúa mạch
ラメン	Mì tàu
てんぷら	Món tẩm bột chiên
ピザ🍕	Pizza
/////////////////////////////////////////////////// het bai 11
Bài 12
あそびます	CHƠI
およぎます	BƠI LỘI
むかえます	ĐÓN
つかれます	MỆT
だします	GỬI (thư), NỘP (báo cáo)
はいります	ĐI VÀO
でます	RA, RA KHỎI
けっこんします	KẾT HÔN
かいものします	MUA SẮM
しょくじします	ĂN CƠM
さんぽします	ĐI DẠO
たいへん（な）	VẤT VẢ, KHÓ KHĂN
ほしい	MUỐN
さびしい	BUỒN, CÔ ĐƠN
ひろい	RỘNG
せまい	HẸP
しやくしょ	VP HÀNH CHÍNH QUẬN
プール	BỂ BƠI
かわ	SÔNG
けいざい	KINH TẾ
びじゅつ	mỸ THUẬT
つり	CÂU CÁ
スキー	TRƯỢT TUYẾT
かいぎ	HỘI NGHỊ
とうろく	VIỆC ĐĂNG KÍ
しゅうまつ	CUỐI TUẦN
～ごろ	~ KHOẢNG
なにか	CÁI GÌ ĐÓ
どこか	ĐÂU ĐÓ, CHỖ NÀO ĐÓ
おなかが すきました。	TÔI ĐÓI RỒI
おなかが いっぱいです。	TÔI NO RỒI
のどが かわきました	TÔI KHÁT
そうですね。	ĐÚNG THẾ
そう しましょう	NHẤT TRÍ !
ごちゅうもんは？	ANH/ CHỊ DÙNG MÓN GÌ Ạ?
ていしょく	CƠM SUẤT
ぎゅうどん	CƠM THỊT BÒ
（少々）おまちください。	XIN VUI LÒNG ĐỢI (MỘT CHÚT)
べつべつに	TÍNH RIÊNG, ĐỂ RIÊNG
ロシア	NƯỚC NGA
//////////////////////////////////////////////het bai 12
Bài 14
つけます	BẬT (điện, điều hòa, tivi)
けします	消します (TIÊU)
TẮT (điện, điều hòa, tivi)
あけます	開けます(KHAI)
MỞ (cửa)
しめます	閉めます (BẾ)
ĐÓNG (cửa)
いそぎます	急ぎます (CẤP)
VỘI, GẤP
まちます	待ちます(ĐÃI)
ĐỢI, CHỜ
とめます	止めます (CHỈ)
DỪNG, ĐỖ
まがります	曲がります (KHÚC)
RẼ, QUẸO
もちます	持ちます (TRÌ)
MANG, CẦM
とります	取ります （THỦ)
LẤY
てつだいます	手伝います (THỦ TRUYỀN)
GIÚP ĐỠ
よびます	呼びます (HÔ)
GỌI (tên, taxi)
はなします	話します (THOẠI)
NÓI, NÓI CHUYỆN
みせます	見せます (KIẾN)
CHO XEM
おしえます	教えます (GIÁO)
NÓI, CHO BIẾT
はじめます	始めます(SƠ)
BẮT ĐẦU
ふります	降ります (HÀNH, GIÁNG)
RƠI (mưa rơi)
コピーします	PHÔ TÔ
エアコン	ĐIỀU HÒA
パスポート	HỘ CHIẾU
なまえ	名前
TÊN
じゅうしょ	住所 (TRỤ, TRÚ-SỞ)
ĐỊA CHỈ
ちず	地図 (ĐỊA ĐỒ)
BẢN ĐỒ
しお	塩 (DIÊM)
MUỐI
さとう	砂糖 (SA- ĐƯỜNG)
ĐƯỜNG (đường ăn)
よみかた	読み方 (ĐỘC- PHƯƠNG)
CÁCH ĐỌC
～かた	方 (PHƯƠNG)
CÁCH~
ゆっくり	CHẬM, THONG THẢ, THOẢI MÁI
すぐ	NGAY, LẬP TỨC
また	LẠI....
あとで	後で (HẬU)
SAU
もう すこし	もう少し
THÊM MỘT CHÚT
もう～	THÊM~
いいですよ	ĐƯỢC CHỨ, ĐƯỢC Ạ
あれ！	Ô ! (cảm thán)
まっすぐ	真っ直ぐ (CHÂN TRỰC)
THẲNG
おつり	お釣り「ĐIẾU」
TIỀN LẺ
しんごを みぎへ まがって ください	信号を右へ 曲がってください
(TÍN-HIỆU-HỮU-KHÚC)
HÃY RẼ PHẢI Ở CHỖ ĐÈN GIAO THÔNG
ひだりへ まがって ください	信号を左へ曲がってください
(TÍN-HIỆU-TẢ-KHÚC)
HÃY RẼ TRÁI Ở CHỖ ĐÈN GIAO THÔNG
あめが ふります。	雨が降ります
MƯA RƠI
///////////////////////////////////////////het bai 14
Bài 16
のります（でんしゃに～）	LÊN (TÀU)
おります（でんしゃを～）	XUỐNG (TÀU)
のりかえます	CHUYỂN (TÀU)
あびます	TẮM
いれます	CHO VÀO, BỎ VÀO
だします	RÚT RA, RÚT (TIỀN)
はいります（だいがくに～）	VÀO (ĐẠI HỌC)
でます（だいがくに～）	TỐT NGHIỆP (ĐẠI HỌC)
やめます（かいしゃを～）	BỎ, THÔI VIỆC
おします	ẤN, BẤM, ĐẨY
わかい	TRẺ
ながい	DÀI
みじかい	NGẮN
あかるい	SÁNG
くらい	TỐI
せがたかい	CAO
あたまがいい	THÔNG MINH
からだ	NGƯỜI, CƠ THỂ
あたま	ĐẦU
かみ	TÓC
かお	MẶT
め	MẮT
みみ	TAI
くち	MIỆNG
は	RĂNG
おなか	BỤNG
あし	CHÂN
サービス	DỊCH VỤ
ジョギング	VIỆC CHẠY BỘ
ジャワー	VÒI HOA SEN
みどり	MÀU XANH LÁ, CÂY XANH
「お」てら	CHÙA
じんじゃ	ĐỀN
りゅうがくせい	DU HỌC SINH
ーばん	SỐ -
どうやって	LÀM THẾ NÀO
どの～	CÁI NÀO~
「いいえ」まだまだ です	KHÔNG, TÔI CÒN KÉM LẮM
おひきだしですか	ANH/ CHỊ RÚT TIỀN Ạ
まず	ĐẦU TIÊN
キャッシュカード	THẺ ATM
あんしょうばんごう	MÃ SỐ BÍ MẬT
つぎに	TIẾP THEO
きんがく	SỐ TIỀN
かくにん	XÁC NHẬN
ボタン	NÚT
アジア	CHÂU Á
バンドン	BANDUNG (ở Indonesia)
バラクルス	VERACRUZ (ở Mexico)
フランケン	FRANKEN (ở Đức)
ベトナム	VIỆT NAM
フェ	HUẾ
//////////////////////////////////////////het bai 16
Bài 17
おぼえます; (覚えます)	nhớ
わすれます ;(忘れます)	quên
なくします	mất, đánh mất
([レポートを～]だします	nộp (bản/bài báo cáo)
はらいます;(払います)	trả tiền
かえします; (返します)	trả lại
でかけます; (出かけます)	ra ngoài
ぬぎます; (脱ぎます)	cởi (quần áo, giầy)
もっていきます; (持って行きます)	mang đi, mang theo
もってきます; (持って来ます)	mang đến
しんぱいします; (心配します)	lo lắng
ざんぎょうします; (残業します)	làm thêm, làm quá giờ
しゅっちょうします; (出張します)	đi công tác
[くすりを～]のみます; ([薬を～]飲みます)	uống (thuốc)
[おふろに～]はいります; ([おふろに～]入ります)	tắm bồn (vào bồn tắm)
たいせつ[な]; (大切[な])	quan trọng, quý giá
だいじょうぶ[な]; (大丈夫[な])	không sao, không có vấn đề gì
あぶない; (危ない)	nguy hiểm
もんだい; (問題)	vấn đề
こたえ; (答え)	câu trả lời
きんえん; (禁煙)	cấm hút thuốc
[けんこう]ほけんしょう; ([健康]保険証)	thẻ bảo hiểm (y tế)
かぜ	cảm, cúm
ねつ; (熱)	sốt
びょうき; (病気)	ốm, bệnh
くすり; (薬)	thuốc
[お]ふろ	bồn tắm
うわぎ; (上着)	áo khoác
したぎ; (下着)	quần áo lót
せんせい; (先生)	bác sĩ (cách gọi bác sĩ)
２，３にち; (２，３日)	vài ngày
２，３～	vài~ ("~" là hậu tố chỉ cách đếm)
～までに	trước ~ (chỉ thời hạn)
ですから	vì thế, vì vậy, do đó
どうしましたか。	Có vần đề gì?/Anh/chị bị làm sao? (cách bác sĩ hỏi bệnh nhân)
「のどが」いたいです; (「のどが」痛いです)	Tôi bị đau [~họng].
おだいじに; (お大事に)	Anh/chị nhớ giữ gìn sức khỏe. (câu nói với người ốm hoặc bị bệnh)
/////////////////////////////////////////////////////////het bai 17
